id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
a1c47dbf,2020-01-26,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-6.77,-2.78,-7.74,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-01-27,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-9.9,-2.78,-7.74,-25,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-01-28,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-6.77,-2.78,-7.74,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-01-29,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-6.77,-2.78,-7.74,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-01-30,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-6.77,-2.78,-7.74,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-01-31,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-6.77,-2.78,-7.74,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-01,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-6.77,-2.78,-7.74,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-02,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-03,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-04,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-05,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-06,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-07,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
a1c47dbf,2020-02-08,1,0,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-9.9,-8.33,-11.31,0,3,United States,California,Los Angeles,34.2535686492921,-118.145206421379,10039107,USA,US,840,USD,06037,ChIJMc1kAdMq3YARKjm9z9YofYM,"Los Angeles County, California",US06037,,USA.5.19_1
