id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7270561f,2020-03-01,1,0,,,,,,,,,0,0,0,0,0,0,0,1,2,1,1,0,0,0,-13.02,-13.89,-14.88,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-02,1,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-03,2,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-04,2,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-05,4,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-06,5,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-07,12,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-08,14,0,,,,,,,,,0,0,0,0,0,0,0,3,2,1,1,0,0,0,-16.15,-19.44,-18.45,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-09,20,0,,,,,,,,,0,-1,0,0,1,1,0,3,2,1,1,0,0,0,-22.4,-30.56,-25.6,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-10,37,0,,,,,,,,,0,-1,0,0,1,1,0,3,2,1,1,0,0,0,-22.4,-30.56,-25.6,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-11,52,0,,,,,,,,,0,-1,0,0,1,1,0,3,2,1,1,0,0,1,-24.48,-30.56,-27.98,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-12,96,0,,,,,,,,,-2,-2,-2,0,1,1,0,3,2,1,1,0,0,1,-34.38,-48.15,-39.29,0,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-13,155,0,,,,,,,,,-2,-2,2,2,1,1,0,3,2,1,1,0,0,3,-46.35,-56.48,-49.4,-25,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-14,269,1,,,,,,,,,-2,-2,2,2,1,1,0,3,2,1,1,0,0,3,-46.35,-56.48,-49.4,-25,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-15,330,5,,,,,,,,,-2,-2,2,2,1,1,0,3,2,1,1,0,0,3,-46.35,-56.48,-49.4,-25,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2020-03-16,464,7,,,,,,,,,-2,2,2,2,1,1,1,3,2,1,1,0,0,3,-50.52,-63.89,-54.17,-25,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
